Format,Unit, ,Item ID,MDPI barcode,Title Control Number,Catalog Key,OCLC,Call Sequence,Pub Year,MARC key,Ephemera Removed,Bin Barcodes,Bin Name,Ephemera Returned,Title,Author,Library,Shelving Key,Item Type,Home Location,Current Location,Item Category 2,Cataloging date code,Pagination (300a),Illustrations (300b),Size (300c),Column1,Column2,Column3,notes,pre-prioritization group,Year,Tape base,Preservation problems,Pack deformation,Reel size,Track configuration,Sound field,Item Category 1,speed,Tape thickness,Tape stock brand,number of programs,directions recorded,Variations Record Exists,Group key,Group position,Group total,position_by_shelving_key,,NOTES,
Open Reel Audio Tape,B-AAAMC,TP .S8895 G7.1 v.1,32000005120656,40000001200619,BAE7639BM,1442037,11909608,2,1985,1537986,,,,,GUEST LECTURE,STOUT LOUIS,B-MUSIC,TP .S8895 G7.1 V.1,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,2 sound tape reels :,"7 1/2 ips, 2 track, mono. ;",7 in.,,,,out of spec,,1985,Polyester,,None,7 in.,Full track,Mono,IUPERF,7.5 ips,"1.5 mil, 1.0 mil",Scotch 226/227,1,1,,BAE7639BM,1,2,1,,,
Open Reel Audio Tape,B-AAAMC,TP .S8895 G7.1 v.2,32000005120664,40000001200627,BAE7639BM,1442037,11909608,3,1985,1537986,,,,,GUEST LECTURE,STOUT LOUIS,B-MUSIC,TP .S8895 G7.1 V.2,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,2 sound tape reels :,"7 1/2 ips, 2 track, mono. ;",7 in.,,,,out of spec,,1985,Polyester,,None,7 in.,Full track,Mono,IUPERF,7.5 ips,"1.5 mil, 1.0 mil",Scotch 226/227,1,1,,BAE7639BM,2,2,2,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A1334 91-3-28 v. 1,30000002989428,40000001200411,ABL4109BM,137702,24456948,2,1991,145435,x,40000000012437,ML-OR-132,,GUEST RECITAL,ABBOTT MARK,B-MUSIC,TP-S .A1334 91-3-28 V. 1,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,2 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1991,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,ABL4109BM,1,2,1,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A1334 91-3-28 v. 2,30000002989410,40000001200403,ABL4109BM,137702,24456948,3,1991,145435,x,40000000012437,ML-OR-132,,GUEST RECITAL,ABBOTT MARK,B-MUSIC,TP-S .A1334 91-3-28 V. 2,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,2 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1991,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,ABL4109BM,2,2,2,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A1824 93-10-26 v. 1,30000035978273,40000001200395,ADY0701BM,440190,29882142,2,1993,476416,x,40000000012437,ML-OR-132,,GRADUATE RECITAL,ACKERSON MARIANNE,B-MUSIC,TP-S .A1824 93-10-26 V. 1,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,2 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1993,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,ADY0701BM,1,2,1,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A1824 93-10-26 v. 2,30000035978281,40000001200387,ADY0701BM,440190,29882142,3,1993,476416,x,40000000012437,ML-OR-132,,GRADUATE RECITAL,ACKERSON MARIANNE,B-MUSIC,TP-S .A1824 93-10-26 V. 2,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,2 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1993,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,ADY0701BM,2,2,2,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A1935 90-10-17 v. 1,30000002965899,40000001200379,AAY3824BM,79472,23930317,2,1990,85129,x,40000000012437,ML-OR-132,,ARTIST DIPLOMA RECITAL,ADAM ERZSEBET,B-MUSIC,TP-S .A1935 90-10-17 V. 1,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,3 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1990,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,AAY3824BM,1,3,1,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A1935 90-10-17 v. 2,30000002965881,40000001200361,AAY3824BM,79472,23930317,3,1990,85129,x,40000000012437,ML-OR-132,,ARTIST DIPLOMA RECITAL,ADAM ERZSEBET,B-MUSIC,TP-S .A1935 90-10-17 V. 2,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,3 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1990,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,AAY3824BM,2,3,2,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A1935 90-10-17 v. 3,30000002965873,40000001200353,AAY3824BM,79472,23930317,4,1990,85129,x,40000000012437,ML-OR-132,,ARTIST DIPLOMA RECITAL,ADAM ERZSEBET,B-MUSIC,TP-S .A1935 90-10-17 V. 3,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,3 sound tape reels :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1990,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,1.5 mil,Scotch 226,1,1,,AAY3824BM,3,3,3,,,
Open Reel Audio Tape,B-AAAMC,TP-S .A1975 D4.1-1 v. 1,30000036005555,40000001200346,BAF3174BM,1447193,14814767,2,1986,1543998,,40000000012437,ML-OR-132,,JEU DE ROBIN ET DE MARION,ADAM DE LA HALLE APPROXIMATELY 001235 APPROXIMATELY 001288 JEU DE ROBIN ET MARION ENGLISH,B-MUSIC,TP-S .A1975 D4.1-1 V. 1,HOUR06,_MUIUTP,_MUIUTP,REELTAPE,,2 sound tape reels (58 min.) :,"analog, 7 1/2 ips, 2 track, stereo. ;",7 in.,,,,,ML_I,1986,Polyester,,None,7 in.,Half track,Stereo,IUPERF,7.5 ips,"1.5 mil, 1.0 mil",Scotch 226/227,1,1,,BAF3174BM,1,2,1,,,
